PID,A_AREA,A_SQ1,A_SQ2,A_AGE,A_SQ3,A_Q1,A_Q2,A_Q2_1,A_Q2_2,A_Q3,A_Q4,A_Q5,A_Q6,A_GUBUN,WT1
1104034,1,1,2,34,3,1,1,1.0,,3,3,5,98,2,0.99
1104067,1,1,2,39,3,1,1,1.0,,3,3,6,1,2,0.99
1104330,1,1,2,39,3,1,1,2.0,,3,2,3,1,2,0.99
1105012,1,1,1,42,4,1,3,,,2,1,5,98,2,1.0
1105023,1,1,1,41,4,1,3,,,3,1,4,1,2,1.0
1105034,1,1,1,43,4,1,3,,,3,1,5,3,2,1.0
1106001,1,1,2,49,4,1,1,4.0,,3,1,5,1,2,0.99
1106002,1,1,2,49,4,2,9,,,3,1,6,5,2,0.99
1106004,1,1,2,45,4,1,1,1.0,,3,1,2,1,2,0.99
1106009,1,1,2,45,4,1,1,1.0,,3,1,5,1,2,0.99
1106010,1,1,2,46,4,1,1,2.0,,3,1,5,98,2,0.99
1106026,1,1,2,42,4,1,1,1.0,,3,3,6,1,2,0.99
1106069,1,1,2,45,4,1,9,,,3,3,8,1,2,0.99
1107030,1,1,1,52,5,1,3,,,3,1,5,1,2,1.0
1107086,1,1,1,59,5,1,1,4.0,,3,3,5,1,2,1.0
1108021,1,1,2,51,5,1,3,,,2,1,2,1,1,1.0
1108022,1,1,2,59,5,1,3,,,3,1,6,1,1,1.0
1108035,1,1,2,58,5,1,1,2.0,,3,3,6,1,2,1.0
1108037,1,1,2,59,5,1,3,,,3,3,6,1,2,1.0
1108053,1,1,2,58,5,1,1,2.0,,3,3,5,1,2,1.0
1109116,1,1,1,60,6,1,3,,,3,3,5,1,2,0.97
1110016,1,1,2,60,6,1,1,1.0,,3,1,6,98,2,1.02
1110021,1,1,2,62,6,1,3,,,1,1,3,1,2,1.02
1110036,1,1,2,61,6,1,3,,,9,1,6,98,1,1.02
2102004,2,2,2,26,2,2,1,2.0,,3,1,5,2,2,0.99
2103007,2,2,1,38,3,1,1,4.0,,3,1,5,98,2,1.0
2103008,2,2,1,38,3,1,1,4.0,,3,1,5,1,2,1.0
2104017,2,2,2,30,3,1,1,2.0,,3,3,5,1,2,1.0
2105026,2,2,1,49,4,1,1,2.0,,3,3,2,1,2,1.0
2106001,2,2,2,42,4,1,3,,,3,1,6,1,2,1.0
2106012,2,2,2,43,4,1,1,3.0,,3,3,3,1,2,1.0
2106017,2,2,2,49,4,1,3,,,3,3,6,3,2,1.0
2106027,2,2,2,45,4,2,3,,,3,3,6,1,2,1.0
2107004,2,2,1,55,5,1,1,3.0,,3,1,2,1,2,1.0
2107047,2,2,1,55,5,1,2,,2.0,3,3,2,98,1,1.0
2108008,2,2,2,59,5,1,1,1.0,,3,1,6,1,2,1.0
2108031,2,2,2,52,5,1,3,,,3,3,2,1,2,1.0
2201003,3,3,1,22,2,1,2,,4.0,2,1,7,2,2,0.99
2201007,3,3,1,23,2,1,1,1.0,,3,1,7,1,2,0.99
2202001,3,3,2,29,2,1,3,,,3,1,5,1,2,1.0
2206003,3,3,2,44,4,1,1,4.0,,3,1,6,1,2,1.02
2207016,3,3,1,55,5,1,2,,2.0,1,3,4,98,2,1.0
2208005,3,3,2,59,5,1,1,2.0,,3,1,6,5,1,0.99
2210005,3,3,2,62,6,1,1,4.0,,9,1,6,1,2,1.01
2304001,4,4,2,32,3,2,3,,,2,1,7,98,2,0.99
